DayOfWeek,Sales,Open,Promo,StateHoliday,SchoolHoliday,Month,Year,WeekOfYear,Date
3,972.0,1,0,0,1,12,2014,1,2014-12-31
2,3160.0,1,0,0,1,12,2014,1,2014-12-30
1,2967.0,1,0,0,1,12,2014,1,2014-12-29
7,0.0,0,0,0,0,12,2014,52,2014-12-28
6,1142.0,1,0,0,0,12,2014,52,2014-12-27
5,0.0,0,0,1,1,12,2014,52,2014-12-26
4,0.0,0,0,1,1,12,2014,52,2014-12-25
3,1552.0,1,0,0,1,12,2014,52,2014-12-24
2,5065.0,1,0,0,1,12,2014,52,2014-12-23
1,5751.0,1,0,0,1,12,2014,52,2014-12-22
7,0.0,0,0,0,0,12,2014,51,2014-12-21
6,2489.0,1,0,0,0,12,2014,51,2014-12-20
5,4907.0,1,1,0,0,12,2014,51,2014-12-19
4,5557.0,1,1,0,0,12,2014,51,2014-12-18
3,5191.0,1,1,0,0,12,2014,51,2014-12-17
2,6935.0,1,1,0,0,12,2014,51,2014-12-16
1,8400.0,1,1,0,0,12,2014,51,2014-12-15
7,0.0,0,0,0,0,12,2014,50,2014-12-14
6,1266.0,1,0,0,0,12,2014,50,2014-12-13
5,2600.0,1,0,0,0,12,2014,50,2014-12-12
4,2279.0,1,0,0,0,12,2014,50,2014-12-11
3,1852.0,1,0,0,0,12,2014,50,2014-12-10
2,3533.0,1,0,0,0,12,2014,50,2014-12-09
1,2738.0,1,0,0,0,12,2014,50,2014-12-08
7,0.0,0,0,0,0,12,2014,49,2014-12-07
6,1191.0,1,0,0,0,12,2014,49,2014-12-06
5,5108.0,1,1,0,0,12,2014,49,2014-12-05
4,3790.0,1,1,0,0,12,2014,49,2014-12-04
3,3810.0,1,1,0,0,12,2014,49,2014-12-03
2,5488.0,1,1,0,0,12,2014,49,2014-12-02
1,5726.0,1,1,0,0,12,2014,49,2014-12-01
7,0.0,0,0,0,0,11,2014,48,2014-11-30
6,1079.0,1,0,0,0,11,2014,48,2014-11-29
5,4104.0,1,1,0,0,11,2014,48,2014-11-28
4,3823.0,1,1,0,0,11,2014,48,2014-11-27
3,3660.0,1,1,0,0,11,2014,48,2014-11-26
2,5399.0,1,1,0,0,11,2014,48,2014-11-25
1,5916.0,1,1,0,0,11,2014,48,2014-11-24
7,0.0,0,0,0,0,11,2014,47,2014-11-23
6,842.0,1,0,0,0,11,2014,47,2014-11-22
5,2487.0,1,0,0,0,11,2014,47,2014-11-21
4,2185.0,1,0,0,0,11,2014,47,2014-11-20
3,1818.0,1,0,0,0,11,2014,47,2014-11-19
2,2469.0,1,0,0,0,11,2014,47,2014-11-18
1,1837.0,1,0,0,0,11,2014,47,2014-11-17
7,0.0,0,0,0,0,11,2014,46,2014-11-16
6,1022.0,1,0,0,0,11,2014,46,2014-11-15
5,3443.0,1,1,0,0,11,2014,46,2014-11-14
4,3210.0,1,1,0,0,11,2014,46,2014-11-13
3,3305.0,1,1,0,0,11,2014,46,2014-11-12
2,4241.0,1,1,0,0,11,2014,46,2014-11-11
1,4901.0,1,1,0,0,11,2014,46,2014-11-10
7,0.0,0,0,0,0,11,2014,45,2014-11-09
6,845.0,1,0,0,0,11,2014,45,2014-11-08
5,3591.0,1,1,0,0,11,2014,45,2014-11-07
4,3499.0,1,1,0,0,11,2014,45,2014-11-06
3,3410.0,1,1,0,0,11,2014,45,2014-11-05
2,5298.0,1,1,0,0,11,2014,45,2014-11-04
1,6286.0,1,1,0,0,11,2014,45,2014-11-03
7,0.0,0,0,0,0,11,2014,44,2014-11-02
6,1276.0,1,0,0,0,11,2014,44,2014-11-01
