DayOfWeek,Sales,Open,Promo,StateHoliday,SchoolHoliday,Month,Year,WeekOfYear,Date
3,2239.0,1,0,0,1,12,2014,1,2014-12-31
2,4877.0,1,0,0,1,12,2014,1,2014-12-30
1,4586.0,1,0,0,1,12,2014,1,2014-12-29
7,0.0,0,0,0,0,12,2014,52,2014-12-28
6,3533.0,1,0,0,0,12,2014,52,2014-12-27
5,0.0,0,0,1,1,12,2014,52,2014-12-26
4,0.0,0,0,1,1,12,2014,52,2014-12-25
3,2742.0,1,0,0,1,12,2014,52,2014-12-24
2,7255.0,1,0,0,1,12,2014,52,2014-12-23
1,8460.0,1,0,0,1,12,2014,52,2014-12-22
7,0.0,0,0,0,0,12,2014,51,2014-12-21
6,6427.0,1,0,0,0,12,2014,51,2014-12-20
5,7173.0,1,1,0,0,12,2014,51,2014-12-19
4,5458.0,1,1,0,0,12,2014,51,2014-12-18
3,5517.0,1,1,0,0,12,2014,51,2014-12-17
2,5380.0,1,1,0,0,12,2014,51,2014-12-16
1,6772.0,1,1,0,0,12,2014,51,2014-12-15
7,0.0,0,0,0,0,12,2014,50,2014-12-14
6,5263.0,1,0,0,0,12,2014,50,2014-12-13
5,3473.0,1,0,0,0,12,2014,50,2014-12-12
4,3550.0,1,0,0,0,12,2014,50,2014-12-11
3,2916.0,1,0,0,0,12,2014,50,2014-12-10
2,3166.0,1,0,0,0,12,2014,50,2014-12-09
1,2760.0,1,0,0,0,12,2014,50,2014-12-08
7,0.0,0,0,0,0,12,2014,49,2014-12-07
6,4292.0,1,0,0,0,12,2014,49,2014-12-06
5,5734.0,1,1,0,0,12,2014,49,2014-12-05
4,3828.0,1,1,0,0,12,2014,49,2014-12-04
3,3895.0,1,1,0,0,12,2014,49,2014-12-03
2,4179.0,1,1,0,0,12,2014,49,2014-12-02
1,4492.0,1,1,0,0,12,2014,49,2014-12-01
7,0.0,0,0,0,0,11,2014,48,2014-11-30
6,5891.0,1,0,0,0,11,2014,48,2014-11-29
5,5386.0,1,1,0,0,11,2014,48,2014-11-28
4,3818.0,1,1,0,0,11,2014,48,2014-11-27
3,2860.0,1,1,0,0,11,2014,48,2014-11-26
2,3131.0,1,1,0,0,11,2014,48,2014-11-25
1,3836.0,1,1,0,0,11,2014,48,2014-11-24
7,0.0,0,0,0,0,11,2014,47,2014-11-23
6,4042.0,1,0,0,0,11,2014,47,2014-11-22
5,3132.0,1,0,0,0,11,2014,47,2014-11-21
4,2637.0,1,0,0,0,11,2014,47,2014-11-20
3,3265.0,1,0,0,0,11,2014,47,2014-11-19
2,2457.0,1,0,0,0,11,2014,47,2014-11-18
1,2461.0,1,0,0,0,11,2014,47,2014-11-17
7,0.0,0,0,0,0,11,2014,46,2014-11-16
6,4302.0,1,0,0,0,11,2014,46,2014-11-15
5,4504.0,1,1,0,0,11,2014,46,2014-11-14
4,4242.0,1,1,0,0,11,2014,46,2014-11-13
3,3134.0,1,1,0,0,11,2014,46,2014-11-12
2,2783.0,1,1,0,0,11,2014,46,2014-11-11
1,3318.0,1,1,0,0,11,2014,46,2014-11-10
7,0.0,0,0,0,0,11,2014,45,2014-11-09
6,4366.0,1,0,0,0,11,2014,45,2014-11-08
5,4281.0,1,1,0,0,11,2014,45,2014-11-07
4,3536.0,1,1,0,0,11,2014,45,2014-11-06
3,4653.0,1,1,0,0,11,2014,45,2014-11-05
2,3509.0,1,1,0,0,11,2014,45,2014-11-04
1,4681.0,1,1,0,0,11,2014,45,2014-11-03
7,0.0,0,0,0,0,11,2014,44,2014-11-02
6,0.0,0,0,1,0,11,2014,44,2014-11-01
